GDP (no carbon price),A01,A03,B05a,B05b,B05c,B07,B09,C10T12,C13T15,C16,C17,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31T33,D01a,D01b,D01c,D01d,D01e,E,F,G,H49,H50,H51,H52,H53,I,J58T60,J61,J62,K,L,M,N,O,P,Q,R_S
2014-01-01,20422.745402652232,946.0910821273673,1332.6453153542082,6241.754111772959,35621.57626110399,9101.353301732044,8476.312921723873,27187.478177469096,1558.44554034868,6894.233360268135,8864.135120498097,18845.176109456293,11132.91489363257,3041.6030055505644,6897.2821033096425,5427.356139270396,16928.254099824713,9262.129720389084,3568.710010369343,2434.707931473462,9646.152196640161,22513.530996890662,7619.2965789538475,8682.222237812775,7648.696632208905,2024.523503924129,2479.4558622694776,100.05531512519978,845.14808733466,3671.476654261219,85944.22064549984,80933.70904739093,23001.710109875155,1469.394166388566,5581.726985488006,8778.410664907226,3577.108298066773,20391.222934649166,9685.379999702047,14173.172510507145,13032.335858241813,60370.69655278178,71002.89110589391,32002.20411363866,23693.299821885405,58535.820964114515,31329.211383424336,49269.6008898505,17308.002829313653
2014-04-01,23089.835803476828,1051.68997075577,1288.6700567684886,6647.326532376844,35941.68600552438,9205.41332192715,8794.622806116126,27840.054074412375,1699.6517275608146,7275.947116517396,9066.820016158536,19584.733392700466,11507.454043571877,3323.3483620831216,6940.400297768132,5604.260745995837,16475.649673968393,8214.599046090723,3746.812051730843,2582.307881918355,9443.132152266273,25486.696251589372,7183.086025664276,8847.241641539202,7703.500980984585,2216.0390403200495,2706.01345540581,102.5123832731443,875.4923005854821,3567.025983981726,78723.92974855067,80852.34813560819,23568.204134045507,1585.8012229771368,6015.998202371914,8751.997439865003,3581.8058671463054,19644.462276126105,9147.795591503398,13180.255535027429,14542.083242988112,59813.645555694355,70606.08551915237,30497.968222508414,25024.945261409448,54709.89472083132,31512.990157799963,47848.68171178547,17937.119439846196
2014-07-01,23805.904588091897,1051.126847611045,1236.4821613040397,7067.16357042403,37672.82824589075,9499.780089166175,8996.720987004926,30413.085142646883,1510.9494805971992,7288.916242323057,8581.28891204457,20231.62638159087,12463.87742178493,3247.637877431158,7624.484977516777,5825.70469686591,17473.310228165647,8722.85961787218,3899.793384165852,2512.269856971933,9288.970405053979,25970.57061212858,7158.602448503223,9284.561741164976,6971.054121771787,2300.5719957833026,2748.3889777141903,103.37337699107597,889.2766267691953,3241.261167490161,83139.57790458915,82642.86143232885,27005.508719953796,1676.7333915756742,6205.798792087141,8447.105894658518,3493.606160883117,19107.633672442436,10234.1030751322,12896.49134562914,13524.659703955973,63863.80362898414,75210.25244077518,30971.539392055354,26742.99648008246,56607.79348504369,30115.947173943707,53982.19410930242,16280.150826484638
2014-10-01,24296.130821961797,1025.8532342894146,1304.4875272960335,7270.781912723865,39059.95171087657,9390.972137538762,9752.89023543357,30010.812148367844,1503.4031862060974,8044.0755032802335,8424.485673437037,21414.052297675615,13088.742621815863,3305.228999413311,7389.848942763126,5773.65798424009,16072.403939641767,8528.827393806469,3980.847803706723,2718.9776170512546,8754.644271721065,27783.640438187846,6766.795050307891,8785.422810892313,6301.660145932644,2143.5252337627076,2623.9014297777107,105.7571234224104,905.2843243178496,3239.796768934652,81133.7921071839,79567.1758721436,26563.08951694166,1592.4667771350303,5711.700733601786,8316.050608260737,3111.226411471952,18697.547349619716,10315.524461938074,13624.757417946661,13032.465426320603,65341.16757692614,76102.52107462149,32206.672157711004,25415.842597027116,54844.704190182,29344.390526091738,53798.619865108805,15641.599190577239
2015-01-01,22936.501228041496,1042.22051014581,1355.1521076545503,6883.366186396209,39101.561915681064,9312.908599778304,8442.378544681666,28552.896805646593,1515.0395859279854,8422.999907140837,8487.133387468179,21398.958278599126,12871.165849797839,3260.286442219128,7809.1874404981945,5536.42444979326,15669.628275819194,8588.421746830349,4353.905359250196,2729.4137072858307,8780.579710836033,27110.525614453967,6611.258108426625,7767.656130207107,6522.517519834804,2039.5278911554874,2661.6562445301233,110.65758893839381,836.627438321985,3404.500699642433,79213.37658369224,82440.41910765818,24528.068400318563,1574.4314804254007,5707.443372049257,8238.41851306261,3262.219274489862,19530.712232338778,10671.415709577634,13658.53593983895,13742.641858077624,58924.96438811742,78658.43108389211,31813.590556887983,23991.668471463643,60797.437820994586,31577.631399398942,54883.86137593178,16293.908017321388
2015-04-01,22683.2792404026,1087.9858914369374,1304.3576256931767,7233.287844188362,41008.84057314057,8698.74749783746,8789.057245526692,28148.42798429094,1548.1419000159106,8728.451180779493,8415.623624868746,22085.98019267431,13425.36829442075,3304.196308948749,7790.038714678637,5706.845628403841,16413.382639703257,9214.79488383604,4762.567741010825,2645.40631629768,8744.511802147716,29079.856769468897,6860.752119607112,8463.164078813663,7043.46555478011,2039.2345221523444,2531.5777975642504,114.3591622615447,857.9895244695641,3606.9012792516123,73785.65334282692,90532.53114092007,25090.27404437002,1652.4058563844528,6088.24594358865,8952.626200979994,3049.3562611075095,20246.997405790884,11097.012855168907,12436.657855699743,13984.791750491286,65986.02229237057,81547.03407419503,30349.460814434922,27291.13859389046,57416.68697097226,34953.08769411066,56468.43465850529,16202.594769545134
2015-07-01,22082.01181381487,993.8460760306433,1295.586321375048,6817.003595201534,38310.697289743905,8753.027490637434,8553.346144458552,24067.661951218462,1548.314578082194,8141.3288273964445,8060.947487363351,22486.485861287347,13870.511403590062,3311.2997862156976,7643.848445974018,5763.012461711079,16922.361192006476,8926.597851214165,4817.493085151243,2746.761576843458,8541.79578779527,26860.337736564205,6532.336241337061,8308.151299175148,7755.445263311019,1969.815024409391,2385.3253750452477,114.79284936800266,761.3245349989477,3506.4850314872965,71467.90913035162,92271.03831281346,24329.04369932902,1537.0967011460589,6095.917927544606,8395.105016298847,3085.547413177271,19559.441876562927,10988.6649663749,11433.078318242096,13472.950571555415,62133.99672605404,80096.62334775158,28357.6216389087,27043.59320639277,55254.038960348815,35192.44940694841,54710.042636119215,15863.51507123801
2015-10-01,24762.209217252075,1005.9679949585403,1419.8688291408428,7074.676694601436,38737.06787604156,9178.131968059146,8487.324123702821,21899.119034456955,1683.0033556477658,8585.828632401668,9389.50149095665,21002.533391289635,14146.959955759103,3614.4010464424937,7941.233698645035,5740.192394637734,20040.74204443772,9118.93427093054,4836.78213854419,2995.77240166503,8641.77131069088,27665.68209723364,6300.492144404499,8439.754353441162,8032.68015574666,2026.548225331564,2617.931006946368,125.05497919734624,764.3500248223091,3650.265958228443,76421.1499195839,91192.99347061141,23093.90471270189,1620.4476806849507,5966.965491946795,8989.645284427083,3075.7635555199245,19027.25304245676,11436.848684359918,11867.529496457188,13370.91295768127,63186.98172708441,77109.2169363432,28852.407033935047,27028.11350422046,58120.0642901823,36315.28120470537,52041.936986292654,15510.299188426474
2016-01-01,23941.20399234135,1104.3511957888152,1440.101572565298,6531.923217900616,36016.73793015661,9407.006855287964,8201.322533495626,20594.662005877602,1638.339499462977,8273.283504941399,8246.963289128498,19923.70293466412,13968.693141820148,3510.8415300418314,7501.162055854456,5913.819315053886,17490.40639540502,9967.75583967888,4989.7648033563255,2856.3229788877165,7262.771143726997,28254.91123452015,6079.527534695759,7895.034931441192,7370.365882604328,2129.641486627747,2522.9617983071107,112.24665697099753,793.033828148876,3782.698857827112,73977.69805568214,91988.24159354012,21655.90493163267,1663.4908209195005,5825.032121488298,8472.624899648537,3104.1723444716254,18644.572076040764,11082.327588200249,11382.1913908767,12820.122387293657,62406.07722478457,75828.41500062944,26914.878782731837,26849.456629628552,57933.152879367146,34751.34567340922,56337.58787617147,16939.088019783045
2016-04-01,23090.96351905511,1090.4071842023463,1483.723077811211,6402.222292131353,38554.75179077254,8779.574217736832,7902.586725191439,20631.48186256228,1583.8260994710035,8168.89738101688,7995.989805666166,20032.59195474152,14161.669460593577,3579.591963069803,7284.115863588517,5611.54694636072,18831.503985163872,9967.979870456906,4790.5000162427405,2819.718849148775,7267.895940371408,28118.53587497183,5791.591446114497,7936.7853908944635,7079.376570119618,2033.223689819245,2594.07097724187,111.84827330065139,700.0179754313135,3897.912805931101,70404.18906996225,90889.33857912033,21568.378826321434,1682.5458692689383,5757.805027392647,8125.110718651575,3210.81492006822,19324.928104535513,10693.633137661993,11150.019574449823,13366.420801566477,66662.25988646035,73992.08435999774,26530.543331879733,26662.54535885612,51761.424690036445,34632.01086184318,59058.79654066554,17967.528982246185
2016-07-01,23379.32194419516,1024.4500035230112,1505.6548263544503,6703.757474769972,39010.59558063942,8781.273775887503,7847.062818401716,19821.035535755287,1453.4248455706654,7964.9922277398155,7968.669288453786,18553.519291115572,13690.51976919085,3554.8276072684457,7482.1853420590405,5487.6397116379085,17407.67592301609,9381.109503170246,4431.240356463807,2660.0154157426514,7220.765186752912,28172.38392406558,6045.827237323137,7413.556561389896,6764.782338343665,2010.6651913573814,2506.929471557826,103.86159094705927,707.3266217527299,3389.1405925959307,75762.20032236473,94294.60458153483,22660.918807463593,1536.4143642736046,5735.041795746188,7715.601124573177,2895.708795623043,19259.511741239054,10433.542758482225,10086.736372048705,12851.898129339917,66560.73896916768,72625.2080772053,26080.202624952573,26543.115946122358,51882.96248642695,36774.80309839697,59084.41797627334,17857.444636775355
2016-10-01,22165.430317804014,984.6572395201097,1539.1969766964648,6663.806528147902,35417.32820786334,9333.251663104493,8003.077385509286,19931.916488828756,1473.6821259647404,8533.712732135593,7913.353568581228,18590.057551578087,13336.237346349355,3404.743576039227,6454.674577316807,5364.621351565338,16746.69691742513,9793.56528551937,4599.55697114424,3016.4076232833454,6945.566574928634,27151.76583751634,6012.5870780384885,7533.502721761706,6671.596250025179,2036.6758391106816,2603.6114491434387,96.70655805447149,708.2838306946237,3273.5672752108812,68708.02146554345,87362.38497784187,22879.991580719496,1590.8969357161322,5617.730992638742,8140.3883026092435,2894.7448031409854,18756.950726316933,10674.277926785551,9409.737481888675,11479.087860326421,64360.00385400197,68270.2268909024,24483.009462108224,25997.402596112155,46890.73884249343,39601.04971278043,60059.08130624959,17603.874642825198
2017-01-01,21915.52003992878,1019.8412908533194,1675.8109256453397,6492.740119008779,35707.3772462212,9522.989505519097,7596.885940685315,21294.667862152965,1561.4102978144822,8310.064328496896,7812.5876410843,18573.936772001172,13459.8230545545,3455.3314010525814,6619.585703074166,5631.413955649479,17372.923620724778,9748.307196697344,4481.617531791682,3154.3133420100703,6715.7427778608135,25493.14772671734,6166.840758235002,6854.345901944972,7015.364327095173,2069.119369154372,2680.978807994968,104.63891916949791,722.5077607577207,3416.9114962155177,71280.48036482505,94532.5330390828,25035.079839743023,1562.8793082563514,5560.023916064163,9253.644008968884,2894.056677526701,20181.415780624084,10405.7344284629,8914.883197479396,10662.20960972292,69002.60508992709,75564.95304308292,25484.64267182626,27537.380627313225,48133.521601948254,45573.34032611632,61482.98847097959,17835.509657244056
2017-04-01,23589.782285335677,1045.014913381584,1661.392541921872,7035.717326724775,34494.529574054926,10703.442118369447,7393.126337866516,22354.22118981622,1486.8576380649079,7813.79948146981,7549.738339120362,19910.15527392115,12929.70746526175,3462.1061631125913,6880.711027590601,5660.430732480653,17269.268639229616,10376.471152623144,4416.121404915184,3045.128028504011,6654.991465917412,27903.30900684308,6077.921129213145,6443.345497506826,7211.890560029119,2072.2715930375625,2722.7083287534833,110.64480857852487,716.4542125941161,3340.5123430123153,75818.17956999376,93293.0817381039,25565.025489203053,1599.9322333043806,5794.107600304731,8928.715036620384,2897.812023124412,21381.05778689568,10389.667360621603,9741.235912416178,10688.008720725016,72054.90805124017,76423.05306806472,27673.325870727665,29462.561467326326,41785.16734707995,45248.18499145524,61778.05099030982,19209.698638668837
2017-07-01,24160.028530353164,1041.5815481201641,1438.0063293641917,7093.565460670482,38108.45221402853,10458.13524914098,7581.408950926311,21404.151811766267,1605.7813904216723,8487.479933130378,7744.203193662731,19837.072014865123,12844.485374877715,3731.1466179155977,7608.084246191754,4908.6449572314295,16941.207461852642,10332.558086838937,4353.480094957054,2882.740320024041,6346.942012311664,24746.479455755998,5625.174905163558,6386.5148649490175,7330.5134538324955,1979.3699249393744,2779.286337645902,104.00323908520032,784.1854663656115,3312.8896656850993,76246.3945091109,92774.37651726672,27001.475126157573,1649.8320844890604,5914.201459846959,9150.338010583562,2882.544473749792,20244.585382416255,10368.34248449209,11321.175041947707,10430.229610617496,72611.13291565406,80488.77865653693,26142.141065699987,27955.58851027729,37611.2659132886,44493.42473059259,60260.79596490331,19080.670721896087
2017-10-01,22556.936065070095,1053.3101562268967,1407.9082716438297,6591.876157389644,35728.004640347885,10263.629401155838,7566.45321721728,20784.27517020156,1500.6759391573344,8040.640150844129,7493.1318378367105,20931.69062187561,13869.364363024377,3624.299508034803,7761.93059531139,4981.935673894554,17245.547958132214,8063.052836602705,4431.2065746656035,2716.5953173490716,6531.583252664871,24246.720202735087,5424.0087285221825,7227.899493330234,8063.626702788653,2035.8206746405515,2730.84503761439,106.9052889711787,770.8748451466599,3271.463569472905,74239.97107119522,93096.54517526593,25164.003269411216,1658.1907806936583,6115.370635906051,9564.66108556635,2858.7591351780943,19462.269258355373,10401.668412058882,11292.959993757371,10468.946070771828,70293.00846213163,79219.86520271652,25551.053364544754,28129.290895309707,35430.16131872466,43139.11918338286,59871.318642319806,19250.36311862102
2018-01-01,24987.816246626524,1116.612348366444,1383.865032930533,6357.869879284413,36370.71363100605,9671.754208078544,8091.591976903141,20139.71342868118,1421.656828372258,7839.923937401672,7482.526023237413,22528.728544072164,13852.353443446114,3607.2227262226525,7874.956249118902,4675.750787615994,17434.752519186968,7595.37317806151,4430.9271728952135,2594.40899008877,7050.419429364079,24605.786748528168,5281.362213888505,7447.211107258206,7745.3688301293105,1943.2151295505482,2759.113054252849,110.98197734467031,791.4612815616488,3456.0360406551645,79857.40975218936,96324.02417263007,25820.726912889204,1494.085325325937,6001.530702413185,10533.779416731242,3057.391978357148,18724.384720436206,10971.954523652777,11895.951795184421,10295.38709159288,71864.817395692,85994.5166734687,25953.077918734092,28346.819979129625,26350.632449970944,42612.313690883486,60291.63393514137,18399.599378537696
2018-04-01,26498.979092414025,1072.6380708566319,1329.2712070219654,6855.361544839417,37354.25231935906,9563.751735877044,7829.5832926308585,18617.703432567723,1484.556788743648,8100.23036343694,7577.638894636307,21742.352412784025,13148.727622441074,3696.506604592781,7312.043167854281,4783.3094741566165,16865.001246466632,7402.566845026579,4511.641503358892,2640.8578369143493,7562.390163760945,24722.547822268407,5272.877828036133,7518.723937731247,7336.240306456497,1983.4935572780932,2640.734650391319,110.71541087784887,737.4688513415687,3364.5286149951494,72266.71833431422,98086.59590226135,24235.934188965588,1501.6505126362076,5843.152392452616,10398.139906814691,3156.3789820404713,17733.636187467895,10675.699107400418,11943.326210719863,10440.4835783633,74705.13798729783,77892.55559598772,25225.050843115012,30048.88545057828,26033.24898217067,43491.67846275055,63115.04574783971,18380.914806721663
2018-07-01,27030.45740924579,971.2032650039796,1268.4642862781443,6802.642309888943,39206.12976559002,9507.806384485955,7745.979911902052,19164.33257940801,1495.565747793336,8111.411396038074,7471.400541334544,22764.980122651028,13641.465994457172,3512.2533000169515,6857.518116313182,4407.912933540907,15158.947379728135,7475.069736025819,4400.597916785229,2657.348187645041,7645.184479503808,24089.738205513255,5480.478498443941,7400.187844394472,7476.7561414552765,1906.8745522968197,2649.0553695469907,105.43015448598078,722.803484373355,3350.4083811189585,74417.50756371322,99002.47817300171,24942.066974111265,1453.5646771918525,5917.565149954063,10064.846962808595,2823.359669953189,16832.325251082424,10849.847980488143,11803.81652443493,10153.365929386075,74213.27382033656,73958.09628379582,25345.445608230508,30459.731825587194,20798.264449603128,44240.15628185012,62665.20536569847,19582.890364079918
2018-10-01,27685.14580984708,966.0114742873997,1437.638206698505,6160.986288388174,39480.27464129828,10031.148494656754,7610.598282247006,20146.700442365294,1511.5339371254,7989.87864821369,7598.251320323016,23895.572825113377,12802.815226524372,3742.154222978463,6832.518661128913,4960.8034981125875,15621.135790046304,7448.245046323834,3978.00152782511,2645.5309962454403,8034.105977849197,25032.668260400587,5663.35254385818,7714.260120555057,7252.1217521650415,1891.069254610655,2754.982548446178,103.24991364769173,737.1269522799886,3300.833269522934,77888.61057408343,99468.89540747614,23440.365822735133,1607.7324930715417,6421.989127441222,10113.379750725544,2779.4192610268105,18116.93002880525,10502.802241486675,11728.543786880962,10045.37513563645,79366.81466059404,72835.6115981604,24585.564507637784,31317.904723732878,21312.06402197911,45236.79393723886,60325.23488334082,19594.88626543888
